	FPKM	mean
FBtr0005088	216.35575899999998	-0.0883074
FBtr0006151	0.0	-0.060608100000000005
FBtr0070000	0.0	-0.0494109
FBtr0070001	0.0	-0.0400195
FBtr0070002	0.0	-0.0506477
FBtr0070003	0.0	-0.00163824
FBtr0070006	0.0	-0.0496492
FBtr0070007	14.031757	-0.039104400000000004
FBtr0070008	26.75522	-0.0783495
FBtr0070025	0.0	-0.07003889999999999
FBtr0070026	27.267145000000003	-0.10004099999999999
FBtr0070027	12.86722	-0.04541
FBtr0070028	26.720072	-0.0219014
FBtr0070029	0.0	-0.0044357
FBtr0070032	0.530979	-0.04561969999999999
FBtr0070034	0.0	-0.0234474
FBtr0070035	0.0	-0.0486216
FBtr0070036	0.0	-0.0101584
FBtr0070038	73.625633	-0.06414740000000001
FBtr0070040	27.082874	-0.0385522
FBtr0070041	184.300705	-0.0385522
FBtr0070042	208.65013100000002	-0.0156028
FBtr0070043	0.0	-0.0156028
FBtr0070044	2.117009	-0.0156028
FBtr0070045	0.0	-0.0280595
FBtr0070046	17.094402	-0.024363299999999997
FBtr0070050	0.0	0.0
FBtr0070051	0.0	0.0
FBtr0070052	0.0	2.07487e-14
FBtr0070053	0.0	0.0
FBtr0070054	0.0	0.0
FBtr0070055	0.0	-0.000155845
FBtr0070056	0.0	-0.0262613
FBtr0070057	0.0	-0.0262613
FBtr0070058	178.341019	-0.0593164
FBtr0070059	0.0	-0.0563566
FBtr0070060	0.0	-0.0593164
FBtr0070061	0.0	-0.0593164
FBtr0070062	4.946737000000001	-0.0593164
FBtr0070063	24.266703	-0.08365360000000001
FBtr0070064	40.801331	-0.054473400000000005
FBtr0070065	39.718452	-0.054473400000000005
FBtr0070066	0.0	-0.0504121
FBtr0070067	0.0	-0.0486559
FBtr0070068	0.0	-0.0486559
FBtr0070069	0.0	-0.025422
FBtr0070070	0.0	-0.036846199999999996
FBtr0070071	0.0	-0.034152300000000003
FBtr0070072	0.569616	-0.056537699999999996
FBtr0070073	4.185802	-0.0462523
FBtr0070074	3.323825	-0.0521553
FBtr0070075	0.0	-0.0545923
FBtr0070076	1.794721	-0.0602505
FBtr0070077	0.0	-0.042573400000000004
FBtr0070078	0.0	-0.027637400000000003
FBtr0070079	0.0	-0.0758212
FBtr0070080	0.0	-0.07054110000000001
FBtr0070081	0.0	-0.0628207
FBtr0070084	1.830843	-0.0735482
FBtr0070085	1.760634	-0.0735482
FBtr0070086	0.0	-0.0628207
FBtr0070087	0.0	-0.0628207
FBtr0070088	0.0	-0.0431779
FBtr0070089	20.048563	-0.0705385
FBtr0070090	13.772338000000001	-0.0705385
FBtr0070091	0.0	1.86485
FBtr0070092	9.611697	-0.045166000000000005
FBtr0070093	0.0	-0.045166000000000005
FBtr0070094	20.570314	-0.0586659
FBtr0070095	0.0	-0.0406513
FBtr0070097	0.0	-0.0616387
FBtr0070098	54.84005	-0.038827999999999994
FBtr0070099	0.0	-0.0490621
FBtr0070100	0.0	-0.0398265
FBtr0070101	0.0	-0.020231
FBtr0070102	0.0	-0.020231
FBtr0070103	0.0	-0.021652900000000003
FBtr0070106	0.0	-0.0311475
FBtr0070107	0.0	-0.0196222
FBtr0070108	37.481876	-0.0196222
FBtr0070109	0.0	-0.0756717
FBtr0070110	0.0	-0.08068639999999999
FBtr0070115	0.0	-0.0625625
FBtr0070116	43.115345	-0.0552534
FBtr0070117	0.0	-0.0552534
FBtr0070118	4.16751	-0.0552534
FBtr0070119	53.291676	-0.0710061
FBtr0070120	35.806622	-0.043048800000000005
FBtr0070121	11.87407	-0.0199747
FBtr0070122	218.287506	-0.061695900000000005
FBtr0070123	10.884762	-0.0988146
FBtr0070124	1.285677	-0.0988146
FBtr0070125	116.029045	-0.0946548
FBtr0070126	107.52989199999999	-0.0946548
FBtr0070127	19.827868	-0.0946548
FBtr0070128	1.9858919999999998	-0.0911926
FBtr0070129	0.0	-0.0911926
FBtr0070130	0.0	-0.106224
FBtr0070131	0.0	-0.106224
FBtr0070132	25.630833	-0.106224
FBtr0070133	0.0	-0.106224
